search URL:,https://patents.google.com/?q=autonomous+vehicle&country=US&after=priority:20120101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US20140297067A1,Vehicle control system ,Benjamin Malay,Benjamin Malay,2012-08-02,2013-08-02,2014-10-02,,https://patents.google.com/patent/US20140297067A1/en
US20150066296A1,Trailer identification system for trailer backup assist ,Ford Global Technologies,"Roger Arnold Trombley, Thomas Edward Pilutti, Erick Michael Lavoie, Christopher Nave, John Shutko, Rich Lanoue, Bradley G. Hochrein, Nate Rolfes",2013-08-27,2013-08-27,2015-03-05,,https://patents.google.com/patent/US20150066296A1/en
US9189897B1,Personalized driving ranking and alerting ,Here Global B.V.,Leon Oliver Stenneth,2014-07-28,2014-07-28,2015-11-17,2015-11-17,https://patents.google.com/patent/US9189897B1/en
US20140142785A1,Autonomous mission management ,The Boeing Company,"Ruben Fuentes, Jorge J. Gomez Sanz, Roberto Molina, Carlos Montes, Juan Pavon, David Scarlatti",2012-11-19,2013-10-04,2014-05-22,,https://patents.google.com/patent/US20140142785A1/en
US20150148988A1,Methods and Systems for Alerting and Aiding an Emergency Situation ,Google Inc.,Mathias Samuel Fleck,2013-11-10,2013-11-10,2015-05-28,,https://patents.google.com/patent/US20150148988A1/en
US20140067187A1,Construction Zone Detection Using a Plurality of Information Sources ,Google Inc.,"David Ian Ferguson, Dirk Haehnel, Nathaniel Fairfield",2012-09-05,2012-09-05,2014-03-06,,https://patents.google.com/patent/US20140067187A1/en
US9201421B1,Assisted perception for autonomous vehicles ,Google Inc.,"Nathaniel Fairfield, Josh Seth Herbach, Vadim Furman",2013-11-27,2014-04-16,2015-12-01,2015-12-01,https://patents.google.com/patent/US9201421B1/en
US20140278029A1,Methods And Software For Managing Vehicle Priority In A Self-Organizing Traffic Control System ,Carnegie Mellon University,"Ozan Tonguz, Wantanee Viriyasitavat",2013-03-15,2014-03-15,2014-09-18,,https://patents.google.com/patent/US20140278029A1/en
US8825265B1,Approach for consolidating observed vehicle trajectories into a single representative trajectory ,Google Inc.,"David I. Ferguson, Jiajun Zhu",2012-03-16,2012-03-16,2014-09-02,2014-09-02,https://patents.google.com/patent/US8825265B1/en
US20150197278A1,Method for controlling the driving of a motor vehicle and drive control system ,Zf Lenksysteme Gmbh,"Nicolas Boos, Joerg Strecker",2014-01-14,2015-01-12,2015-07-16,,https://patents.google.com/patent/US20150197278A1/en
US9056395B1,Construction zone sign detection using light detection and ranging ,Google Inc.,"David Ian Ferguson, Dirk Haehnel",2012-09-05,2012-09-05,2015-06-16,2015-06-16,https://patents.google.com/patent/US9056395B1/en
US20140063232A1,Construction Zone Sign Detection ,Google Inc.,"Nathaniel Fairfield, David Ian Ferguson, Abhijit Ogale, Matthew Wang, Yangli Hector Yee",2012-09-05,2012-09-05,2014-03-06,,https://patents.google.com/patent/US20140063232A1/en
US20150066282A1,Autonomous driving in areas for non-drivers ,"Ford Global Technologeis, Llc",Wilford Trent Yopp,2013-09-05,2013-09-05,2015-03-05,,https://patents.google.com/patent/US20150066282A1/en
US20150151725A1,Systems and methods for implementing a multi-segment braking profile for a vehicle ,Mobileye Vision Technologies Ltd.,"Anna Clarke, Gali Nir, Eyal Bagon",2013-12-04,2014-12-04,2015-06-04,,https://patents.google.com/patent/US20150151725A1/en
US20130317680A1,Unmanned autonomous operating system ,"Honda Motor Co., Ltd.","Makoto Yamamura, Junichi Eguchi, Jin Nishimura, Toshiaki Kawakami",2012-05-23,2013-05-08,2013-11-28,,https://patents.google.com/patent/US20130317680A1/en
